Feature,Importance
drop_dat_Mean,0.0006554898224202208
ownrent_R,0.0006072853841176152
HHstatin_G,0.000577627684262674
dwllsize_J,0.000500175181859335
ethnic_B,0.00048786605124468487
dwllsize_C,0.0004664457459747686
crclscod_C,0.00042883185951588285
dwllsize_O,0.00040896800192142244
ethnic_R,0.00038828310075112246
dwllsize_N,0.00035999728004387674
ethnic_D,0.00035647285780904985
blck_dat_Mean,0.00032334079055204953
HHstatin_H,0.00031601083918889506
recv_sms_Mean,0.0003155439371886708
crclscod_E4,0.0003099467622709424
dwllsize_D,0.00030222484145300837
crclscod_A2,0.0002994447148940385
dwllsize_K,0.00024863401141681044
kid3_5_nan,0.00023264727851662014
rv_nan,0.0002287896619222969
kid11_15_nan,0.00022724260845084491
kid6_10_nan,0.00022214421967376187
ethnic_nan,0.00021862298185096714
marital_nan,0.00021858387304216943
creditcd_nan,0.00021232621394758368
kid16_17_nan,0.0002116577648702241
truck_nan,0.00021133877471073357
kid0_2_nan,0.00020866668918808018
dwllsize_E,0.00018652555947873766
dwllsize_L,0.00018435146546805329
dwllsize_F,0.00017165578974893785
callfwdv_Mean,0.0001674242876524239
crclscod_U,0.0001552911053523213
crclscod_E,0.0001328042071636596
dwllsize_H,0.00012846082612812123
ethnic_P,0.00012514348436001347
dwllsize_M,0.00012272649875030105
dwllsize_G,0.0001187956218886242
crclscod_GA,0.00011565990997814232
crclscod_I,9.964587028604825e-05
dwllsize_I,9.87998029657586e-05
crclscod_B2,9.878145073234236e-05
crclscod_G,9.709452879827832e-05
crclscod_D4,9.417559361538706e-05
crclscod_Z4,8.876768264224799e-05
crclscod_D,8.676553834323414e-05
hnd_webcap_UNKW,8.574471106891763e-05
ethnic_C,8.355564136855924e-05
crclscod_M,8.049429053315845e-05
crclscod_JF,8.049277647290735e-05
crclscod_C2,7.965256980366084e-05
dualband_U,7.893999919649345e-05
crclscod_CY,7.123783498937336e-05
infobase_N,6.88026648697441e-05
crclscod_Z,6.859544491244345e-05
crclscod_J,6.04023066041046e-05
ethnic_M,5.106809671489257e-05
crclscod_ZY,4.733092298711079e-05
crclscod_W,4.1024780776812546e-05
crclscod_U1,3.2774388662528785e-05
crclscod_C5,3.0821038085272785e-05
crclscod_K,3.066888336429221e-05
ethnic_X,2.8334458671187044e-05
crclscod_D5,2.726396709358685e-05
crclscod_EC,2.381487247467269e-05
crclscod_V1,2.3293074287600775e-05
crclscod_EM,2.3187047160269952e-05
crclscod_Z5,1.897996831937885e-05
crclscod_GY,1.645425114200503e-05
crclscod_Y,1.255639751747405e-05
area_nan,1.189542019900213e-05
crclscod_CC,8.342152106770722e-06
crclscod_E2,7.985681117248898e-06
crclscod_O,6.762418490686356e-06
crclscod_IF,6.644878850309958e-06
crclscod_Z1,5.528156439889287e-06
crclscod_D2,3.915677350972493e-06
crclscod_P1,3.22085490428491e-06
crclscod_H,2.600194906724171e-06
crclscod_Z2,2.026515479191411e-06
crclscod_TP,1.2107756226880912e-06
crclscod_EF,7.777887154315885e-07
crclscod_L,7.158678492422685e-07
crclscod_V,6.756887715163657e-07
refurb_new_nan,3.750340251963321e-07
dualband_nan,2.835563556238583e-07
crclscod_ZF,0.0
crclscod_A3,0.0
crclscod_S,0.0
